,,,,,,,,,,From file,E:\GRS_data\full_epoch_I_resum_2010_02_25\csv_files_2010_04_28\elements\Fe\2010_05_28\2010_04_28_5x5_for_corrections_Fe_WM_newfit_conc_CapCor2_SmB10_Masked.img
,,,,,,,,,,,E:\GRS_data\full_epoch_I_resum_2010_02_25\csv_files_2010_04_28\elements\Fe\2010_05_28\2010_04_28_5x5_for_corrections_Fe_WM_newfit_sigma_CapCor2_SmB10_Masked.img


,Latitude,Longitude,,Concentration,Sigma
,-62.5000,72.5000,,,
,-62.5000,77.5000,,,
,-62.5000,82.5000,,,
,-62.5000,87.5000,,,
,-62.5000,92.5000,,,
,-62.5000,97.5000,,,
,-62.5000,102.5000,,,
,-62.5000,107.5000,,,
,-62.5000,112.5000,,,
,-62.5000,117.5000,,,
,-62.5000,122.5000,,,
,-62.5000,127.5000,,,
,-62.5000,132.5000,,,
,-62.5000,137.5000,,,
,-62.5000,142.5000,,,
,-62.5000,147.5000,,,
,-62.5000,152.5000,,,
,-62.5000,157.5000,,,
,-62.5000,162.5000,,,
,-62.5000,167.5000,,,
,-62.5000,172.5000,,,
,-62.5000,177.5000,,,
,-62.5000,182.5000,,,
,-62.5000,187.5000,,,
,-62.5000,192.5000,,,
,-62.5000,197.5000,,,
,-62.5000,202.5000,,,
,-62.5000,207.5000,,,
,-62.5000,212.5000,,,
,-62.5000,217.5000,,,
,-62.5000,222.5000,,,
,-62.5000,227.5000,,,
,-62.5000,232.5000,,,
,-62.5000,237.5000,,,
,-62.5000,242.5000,,,
,-62.5000,247.5000,,,
,-62.5000,252.5000,,,
,-62.5000,257.5000,,,
,-62.5000,262.5000,,,
,-62.5000,267.5000,,,
,-62.5000,272.5000,,,
,-62.5000,277.5000,,,
,-62.5000,282.5000,,,
,-62.5000,287.5000,,,
,-62.5000,292.5000,,,
,-62.5000,297.5000,,,
,-62.5000,302.5000,,,
,-62.5000,307.5000,,,
,-62.5000,312.5000,,,
,-62.5000,317.5000,,,
,-62.5000,322.5000,,,
,-62.5000,327.5000,,,
,-62.5000,332.5000,,,
,-62.5000,337.5000,,,
,-62.5000,342.5000,,,
,-62.5000,347.5000,,,
,-62.5000,352.5000,,,
,-62.5000,357.5000,,,
,-57.5000,2.5000,,,
,-57.5000,7.5000,,,
,-57.5000,12.5000,,,
,-57.5000,17.5000,,,
,-57.5000,22.5000,,,
,-57.5000,27.5000,,,
,-57.5000,32.5000,,,
,-57.5000,37.5000,,,
,-57.5000,42.5000,,,
,-57.5000,47.5000,,,
,-57.5000,52.5000,,,
,-57.5000,57.5000,,,
,-57.5000,62.5000,,,
,-57.5000,67.5000,,,
,-57.5000,72.5000,,,
,-57.5000,77.5000,,,
,-57.5000,82.5000,,,
,-57.5000,87.5000,,,
,-57.5000,92.5000,,,
,-57.5000,97.5000,,,
,-57.5000,102.5000,,,
,-57.5000,107.5000,,,
,-57.5000,112.5000,,,
,-57.5000,117.5000,,,
,-57.5000,122.5000,,,
,-57.5000,127.5000,,,
,-57.5000,132.5000,,,
,-57.5000,137.5000,,,
,-57.5000,142.5000,,,
,-57.5000,147.5000,,,
,-57.5000,152.5000,,,
,-57.5000,157.5000,,,
,-57.5000,162.5000,,,
,-57.5000,167.5000,,,
,-57.5000,172.5000,,,
,-57.5000,177.5000,,,
,-57.5000,182.5000,,,
,-57.5000,187.5000,,,
,-57.5000,192.5000,,,
,-57.5000,197.5000,,,
,-57.5000,202.5000,,,
,-57.5000,207.5000,,,
,-57.5000,212.5000,,,
,-57.5000,217.5000,,,
,-57.5000,222.5000,,,
,-57.5000,227.5000,,,
,-57.5000,232.5000,,,
,-57.5000,237.5000,,,
,-57.5000,242.5000,,,
,-57.5000,247.5000,,,
,-57.5000,252.5000,,,
,-57.5000,257.5000,,,
,-57.5000,262.5000,,,
,-57.5000,267.5000,,,
,-57.5000,272.5000,,,
,-57.5000,277.5000,,,
,-57.5000,282.5000,,,
,-57.5000,287.5000,,,
,-57.5000,292.5000,,,
,-57.5000,297.5000,,,
,-57.5000,302.5000,,,
,-57.5000,307.5000,,,
,-57.5000,312.5000,,,
,-57.5000,317.5000,,,
,-57.5000,322.5000,,,
,-57.5000,327.5000,,,
,-57.5000,332.5000,,,
,-57.5000,337.5000,,,
,-57.5000,342.5000,,,
,-57.5000,347.5000,,,
,-57.5000,352.5000,,,
,-57.5000,357.5000,,,
,-52.5000,2.5000,,10.99154090881347700000,0.76585114002227783000
,-52.5000,7.5000,,11.24266719818115200000,0.76579719781875610000
,-52.5000,12.5000,,10.98288059234619100000,0.74127244949340820000
,-52.5000,17.5000,,10.92081165313720700000,0.74130636453628540000
,-52.5000,22.5000,,10.94322681427002000000,0.75934606790542603000
,-52.5000,27.5000,,10.91815662384033200000,0.77791261672973633000
,-52.5000,32.5000,,11.01232051849365200000,0.80584675073623657000
,-52.5000,37.5000,,,
,-52.5000,42.5000,,,
,-52.5000,47.5000,,,
,-52.5000,52.5000,,,
,-52.5000,57.5000,,,
,-52.5000,62.5000,,,
,-52.5000,67.5000,,,
,-52.5000,72.5000,,,
,-52.5000,77.5000,,,
,-52.5000,82.5000,,,
,-52.5000,87.5000,,,
,-52.5000,92.5000,,,
,-52.5000,97.5000,,,
,-52.5000,102.5000,,,
,-52.5000,107.5000,,,
,-52.5000,112.5000,,,
,-52.5000,117.5000,,,
,-52.5000,122.5000,,,
,-52.5000,127.5000,,,
,-52.5000,132.5000,,,
,-52.5000,137.5000,,,
,-52.5000,142.5000,,,
,-52.5000,147.5000,,,
,-52.5000,152.5000,,,
,-52.5000,157.5000,,,
,-52.5000,162.5000,,,
,-52.5000,167.5000,,,
,-52.5000,172.5000,,,
,-52.5000,177.5000,,11.56884670257568400000,0.90181547403335571000
,-52.5000,182.5000,,11.65204143524169900000,0.90801674127578735000
,-52.5000,187.5000,,11.41477203369140600000,0.90214729309082031000
,-52.5000,192.5000,,11.14573478698730500000,0.88289266824722290000
,-52.5000,197.5000,,11.17011737823486300000,0.86543017625808716000
,-52.5000,202.5000,,11.23557090759277300000,0.84197163581848145000
,-52.5000,207.5000,,11.35800552368164100000,0.82634693384170532000
,-52.5000,212.5000,,11.51622486114502000000,0.82635706663131714000
,-52.5000,217.5000,,11.75963973999023400000,0.83214676380157471000
,-52.5000,222.5000,,12.01473712921142600000,0.83410698175430298000
,-52.5000,227.5000,,11.95220565795898400000,0.82464647293090820000
,-52.5000,232.5000,,11.81652545928955100000,0.81669384241104126000
,-52.5000,237.5000,,11.83573722839355500000,0.82442343235015869000
,-52.5000,242.5000,,11.71228504180908200000,0.81692737340927124000
,-52.5000,247.5000,,11.26482677459716800000,0.79551804065704346000
,-52.5000,252.5000,,10.72724628448486300000,0.76510620117187500000
,-52.5000,257.5000,,10.42843151092529300000,0.76001441478729248000
,-52.5000,262.5000,,10.24444770812988300000,0.75866985321044922000
,-52.5000,267.5000,,10.28050422668457000000,0.74593770503997803000
,-52.5000,272.5000,,10.57243728637695300000,0.75246697664260864000
,-52.5000,277.5000,,10.90929985046386700000,0.75892716646194458000
,-52.5000,282.5000,,11.08835697174072300000,0.77080726623535156000
,-52.5000,287.5000,,11.03379344940185500000,0.76420301198959351000
,-52.5000,292.5000,,10.92129611968994100000,0.76349300146102905000
,-52.5000,297.5000,,10.73867225646972700000,0.75280052423477173000
,-52.5000,302.5000,,10.48929882049560500000,0.73545074462890625000
,-52.5000,307.5000,,10.64401340484619100000,0.74382376670837402000
,-52.5000,312.5000,,10.70627593994140600000,0.75535750389099121000
,-52.5000,317.5000,,10.96299934387207000000,0.77993094921112061000
,-52.5000,322.5000,,10.96192646026611300000,0.79097121953964233000
,-52.5000,327.5000,,10.84557056427002000000,0.80069023370742798000
,-52.5000,332.5000,,10.55671501159668000000,0.78722208738327026000
,-52.5000,337.5000,,9.97868442535400390000,0.74461597204208374000
,-52.5000,342.5000,,9.64745235443115230000,0.71779423952102661000
,-52.5000,347.5000,,9.48976039886474610000,0.70404958724975586000
,-52.5000,352.5000,,9.49910354614257810000,0.70025879144668579000
,-52.5000,357.5000,,10.29509258270263700000,0.73338252305984497000
,-47.5000,2.5000,,10.93134021759033200000,0.63909035921096802000
,-47.5000,7.5000,,11.12625980377197300000,0.63825613260269165000
,-47.5000,12.5000,,11.02089595794677700000,0.62194681167602539000
,-47.5000,17.5000,,10.89482879638671900000,0.61827164888381958000
,-47.5000,22.5000,,10.72562980651855500000,0.62160766124725342000
,-47.5000,27.5000,,10.85809230804443400000,0.65092772245407104000
,-47.5000,32.5000,,11.16153049468994100000,0.70158416032791138000
,-47.5000,37.5000,,11.41971111297607400000,0.75791269540786743000
,-47.5000,42.5000,,11.69166278839111300000,0.82975596189498901000
,-47.5000,47.5000,,11.94623947143554700000,0.90409344434738159000
,-47.5000,52.5000,,12.09132480621337900000,0.97017592191696167000
,-47.5000,57.5000,,12.45515346527099600000,1.05033755302429200000
,-47.5000,62.5000,,12.92311000823974600000,1.13421916961669920000
,-47.5000,67.5000,,13.89289569854736300000,1.24614369869232180000
,-47.5000,72.5000,,,
,-47.5000,77.5000,,,
,-47.5000,82.5000,,,
,-47.5000,87.5000,,,
,-47.5000,92.5000,,,
,-47.5000,97.5000,,,
,-47.5000,102.5000,,,
,-47.5000,107.5000,,,
,-47.5000,112.5000,,,
,-47.5000,117.5000,,,
,-47.5000,122.5000,,,
,-47.5000,127.5000,,,
,-47.5000,132.5000,,,
,-47.5000,137.5000,,,
,-47.5000,142.5000,,12.35643291473388700000,0.83976936340332031000
,-47.5000,147.5000,,12.06284904479980500000,0.82718372344970703000
,-47.5000,152.5000,,11.73587799072265600000,0.82076716423034668000
,-47.5000,157.5000,,11.66857337951660200000,0.81665104627609253000
,-47.5000,162.5000,,11.85536956787109400000,0.82075691223144531000
,-47.5000,167.5000,,11.68112373352050800000,0.80210930109024048000
,-47.5000,172.5000,,11.47927284240722700000,0.77606731653213501000
,-47.5000,177.5000,,11.64307403564453100000,0.77801406383514404000
,-47.5000,182.5000,,11.66584396362304700000,0.77447146177291870000
,-47.5000,187.5000,,11.50700473785400400000,0.76421219110488892000
,-47.5000,192.5000,,11.30144214630127000000,0.75204986333847046000
,-47.5000,197.5000,,11.27690124511718700000,0.73900258541107178000
,-47.5000,202.5000,,11.40320777893066400000,0.72172516584396362000
,-47.5000,207.5000,,11.55256748199462900000,0.70583480596542358000
,-47.5000,212.5000,,11.68996715545654300000,0.70634096860885620000
,-47.5000,217.5000,,11.91800022125244100000,0.70814746618270874000
,-47.5000,222.5000,,12.18737030029296900000,0.70646995306015015000
,-47.5000,227.5000,,12.25118446350097700000,0.70260292291641235000
,-47.5000,232.5000,,12.30408859252929700000,0.70049971342086792000
,-47.5000,237.5000,,12.31696796417236300000,0.69882553815841675000
,-47.5000,242.5000,,12.03736972808837900000,0.68285405635833740000
,-47.5000,247.5000,,11.59311580657959000000,0.66543680429458618000
,-47.5000,252.5000,,11.00548267364502000000,0.64231342077255249000
,-47.5000,257.5000,,10.65821075439453100000,0.62990993261337280000
,-47.5000,262.5000,,10.55921840667724600000,0.62483245134353638000
,-47.5000,267.5000,,10.65908622741699200000,0.62427198886871338000
,-47.5000,272.5000,,10.99946022033691400000,0.63486438989639282000
,-47.5000,277.5000,,11.38064384460449200000,0.65625667572021484000
,-47.5000,282.5000,,11.56314849853515600000,0.66798985004425049000
,-47.5000,287.5000,,11.36531734466552700000,0.65941488742828369000
,-47.5000,292.5000,,11.08512115478515600000,0.65064054727554321000
,-47.5000,297.5000,,10.89337253570556600000,0.64835840463638306000
,-47.5000,302.5000,,10.68980979919433600000,0.64211064577102661000
,-47.5000,307.5000,,10.67917537689209000000,0.64511334896087646000
,-47.5000,312.5000,,10.95624637603759800000,0.66660881042480469000
,-47.5000,317.5000,,11.21702384948730500000,0.68742179870605469000
,-47.5000,322.5000,,11.14516544342041000000,0.69245469570159912000
,-47.5000,327.5000,,10.93557643890380900000,0.68983530998229980000
,-47.5000,332.5000,,10.65577220916748000000,0.66952794790267944000
,-47.5000,337.5000,,10.18431091308593700000,0.63910293579101563000
,-47.5000,342.5000,,9.85633182525634770000,0.61326199769973755000
,-47.5000,347.5000,,9.68108081817626950000,0.59750813245773315000
